TIME	TEMP
2015-1-13T0:27:58Z	3.937
2015-1-13T0:28:9Z	3.937
2015-1-13T0:28:20Z	3.937
2015-1-13T0:28:31Z	3.937
2015-1-13T0:28:42Z	3.937
2015-1-13T0:28:53Z	3.937
2015-1-13T0:29:4Z	3.937
2015-1-13T0:29:15Z	3.937
2015-1-13T0:29:26Z	3.875
2015-1-13T0:29:38Z	3.875
2015-1-13T0:29:49Z	3.875
2015-1-13T0:30:0Z	3.875
2015-1-13T0:30:11Z	3.875
2015-1-13T0:30:22Z	3.875
2015-1-13T0:30:33Z	3.937
2015-1-13T0:30:44Z	3.937
2015-1-13T0:30:55Z	3.937
2015-1-13T0:31:6Z	3.937
2015-1-13T0:31:17Z	3.937
2015-1-13T0:31:28Z	3.875
2015-1-13T0:31:39Z	3.875
2015-1-13T0:31:50Z	3.937
2015-1-13T0:32:1Z	3.937
2015-1-13T0:32:13Z	3.937
2015-1-13T0:32:24Z	3.937
2015-1-13T0:32:35Z	3.937
2015-1-13T0:32:46Z	3.937
2015-1-13T0:32:57Z	3.937
2015-1-13T0:33:8Z	3.937
2015-1-13T0:33:19Z	3.937
2015-1-13T0:33:30Z	3.937
2015-1-13T0:33:41Z	3.937
2015-1-13T0:33:52Z	3.937
2015-1-13T0:34:3Z	3.937
2015-1-13T0:34:14Z	3.875
2015-1-13T0:34:25Z	3.875
2015-1-13T0:34:36Z	3.937
2015-1-13T0:34:47Z	3.875
2015-1-13T0:34:59Z	3.937
2015-1-13T0:35:10Z	3.937
2015-1-13T0:35:21Z	3.937
2015-1-13T0:35:32Z	4.000
2015-1-13T0:35:43Z	4.000
2015-1-13T0:35:54Z	4.063
2015-1-13T0:36:5Z	4.063
2015-1-13T0:36:16Z	4.000
2015-1-13T0:36:27Z	4.000
2015-1-13T0:36:38Z	4.000
2015-1-13T0:36:49Z	3.937
2015-1-13T0:37:0Z	3.937
2015-1-13T0:37:11Z	3.937
2015-1-13T0:37:22Z	3.937
2015-1-13T0:37:33Z	3.937
2015-1-13T0:37:45Z	3.937
